,Tipo de accidente,Descripción del accidente
968,Salida de vía,Accidente en carril izquierdo. El vehiculo 1 es golpeado por otro vehiculo que se da a la fuge. Con ayuda de Policía nos pasamod al carril izquierdo de 10RA
969,Colisión de vehículos,"Señalizar accidente por alcance en carril derecho sin daños, n i jeridos. El vehiculo nº 1 se retira en su grúa seguro. El vehiculo nº 2 por sus medios."
970,Colisión de vehículos,"Corto carril izquierdo por accidente, sin daños, con herido leve, trasladado para hacer placas. "
971,Salida de vía,"Señalizar accidente salida de via con daños a patrimonio, sin heridos, lo retira grúa movilidad. Positivo en prueba de alcoholemia"
972,Salida de vía,Vehículo colisiona contra mocheta de entrada al ramal 15RH. Le saca su mutua
973,Colisión de vehículos,Alcance entre vehiculos carril derecho. Retirado por grúas usuarios.
974,Colisión de vehículos,"Aviso de C. Control accidente 2 vehiculos carril derecho, los pasamos al arcen derecho. No hay heridos."
975,Colisión de vehículos,Accidente en carril izquierdo. 1 herido leve trasladado. Se pasan vehículos a la isleta
976,Colisión de vehículos,Señalizar accidente colisión por alcance cortando carril derecho central. Desde 08:08 a 08:16 y pasamos con Polcía a arcén derecho cortando carril derecho. Solicitado SAMUR. SAMUR traslada herido al Hospital Ramón y Cajal
977,Otros,Caída de motorista de UET. Es atendido por SAMUR y trasladado. ITE acude al punto. En el mismo punto queda un turismo averiado que es retirado por grúa
978,Colisión de vehículos,Accidente por alcance en arcén derecho
979,Colisión de vehículos,Aviso de accidente de 3 vehículos en carril izquierdo. Sólo queda 1 que lo pasamos al anchurón PK 32
980,Colisión de vehículos,Accidente en carril derecho y central derecho. 1 herido trasladado al Hospital con pronóstico reservado
981,Salida de vía,"Señalizar vehículo accidentado en carril derecho. Usuario asistido en el punto, se lo llevan detenido."
982,Colisión de vehículos,Accidente por alcance de 3 vehículos en carril derecho.Se encuentra Movilidad que activa al Samur.Samur da de alta al paciente y nos retiramos del punto.Los vehículos salen por sus medios.
983,Colisión de vehículos,Accidente por alcance ocupando parte de carril derecho.
984,Colisión de vehículos,Accidente en carril derecho.Se retiran por sus medios.
986,Colisión de vehículos,Accidente en carril izquierdos.Sin heridos.
988,Colisión de vehículos,"Aviso de accidente en carril izquierdo.Se encuentran en carril derecho,los paso fuera de la M-30,"
989,Colisión de vehículos,Señalizar accidente en carril derecho.Heridos leves dados de alta en el punto.
990,Colisión de vehículos,Accidente leve por alcance de dos vehículos.Se marchan por sus propios medios.
991,Otros,Caída de motorista.Herido trasladado.
992,Colisión de vehículos,Accidente en carriles centrales.Policía pasa los vehículos al arcén izquierdo del 31RJ.
993,Colisión de vehículos,Alcance entre vehículos carril izquierdo.Policía los retira al carril derecho.
994,Colisión de vehículos,Accidente en carril central derecho
995,Colisión de vehículos,Señalizar vehículos accidentados en arcén derecho.Herido leve dado de alta en el lugar.
996,Colisión de vehículos,Aviso accidente de 2 vehículos.Trasladado un herido al Hospital La Paz.Lo sacamos fuera de la M-30
997,Salida de vía,"Accidente de un turismo por salida de vía que colisiona contra la isleta y subiendose en el muro, causa daños al patrimonio. Sin heridos. Se corta la M-607 por orden de Policía Municipal."
998,Colisión de vehículos,Accidente entre 2 vehículos por alcance que se encuentran ocupando el arcén derecho.
999,Colisión de vehículos,Accidente entre 2 vehículos por alcance. Cuando llega el vigilante solo queda 1 vehículo implicado en el carril derecho a la espera de su grúa.
1001,Colisión de vehículos,Accidente por alcance en cruce de calles entre un turismo y un motorista que resulta fallecido. Se cortan 3 carriles.
1002,Colisión de vehículos,"Accidente por alcance entre un turismo y un autobus, se les señaliza mientras los usuarios se intercambian datos y ambos se retiran por sus medios."
1003,Colisión de vehículos,"Accidente por alcance entre 3 turismos que causan daños en barreras, dos de ellos terminan volcando. Dos heridos graves trasladados a hospitales y otro leve también trasladado. "
1004,Colisión de vehículos,Accidente por alcance entre 1 camión cargado con mercancias peligrosas (gasolina - gasoil) y 1 turismo. 1 herido leve dado de alta en el punto por el Samur. Ambos vehículos se retiran por sus medios. Se corta la vía de servicio.
1005,Colisión de vehículos,"Aviso accidente con heridos en carril derecho, 2 heridos, vehículo 2, trasladados sin pronosticar."
1006,Vuelco,"Salida de vía lado derecho como resultado de vuelco en 2 carriles derechos, su,a en el punto, atien a 2 personal, una trasladada a la paz(leve), la otra alta en el punto. Corto 2 carriles derechos  del 32RC y 1 derecho de M11 salida para dar paso a los que vienen por 32RC.ITE 5509, dice que enviemos fotos a atestados de tráfico y que ellos nos facilitan datos del seguro, grúa movilidad."
1007,Colisión de vehículos,"Colisión de vehículos con heridso en carril izquierdo y central, heridos trsladados por Samur."
1008,Colisión de vehículos,"Colisión alcance 2 vehículos sin heridos ni daños carril derecho, se mueven vehículos al arcén derecho del 09XL70, corto 1/2 carril derecho hasta retirada de estos por sus medios, una vez toman datos y policía actúa."
1009,Colisión de vehículos,"Colisión alcance, a mi llegada sólo 1 vehículo con policía carril derecho, movemos vehículo al carril derecho 04RN, hasta retirada de este en grúa policía, sin heridos ni daños."
1010,Salida de vía,Aviso:Accidente en ramal.Caída de motorista con heridos.Herido trasladado por Samur.
1011,Colisión de vehículos,"Colisión por alcance de 3 vehículos,sin heridos ni daños carril derecho.Se retiran por sus medios,una vez hacen el parte."
1012,Colisión de vehículos,"Colisión por alcance entre 2 vehículos,sin heridos ni daños.Corto carril derecho hasta la retirada del veh 1 por sus medios y veh 2 por grúa Ollero."
1015,Colisión de vehículos,Accidente por alcance entre 2 vehículos. Sin heridos ni daños al patrimonio. Ambos vehículos implicados se retiran del punto por sus medios.
1016,Otros,"Accidente de un motorista por caída, este resulta herido leve y trasladado por el Samur al Hospital Ramon y Cajal. Colisionando contra la isleta central y causa daños en el balizamiento. Motocicleta retirada por su grúa del seguro."
1017,Colisión de vehículos,Accidente entre 2 vehículos por alcance que se encuentran ocupando el arcén derecho. Sin heridos ni daños al patrimonio.
1018,Colisión de vehículos,Accidente entre 2 vehículos por alcance que se encuentran ocupando el carril derecho. Sin heridos ni daños al patrimonio. Ambos se retiran del punto por sus medios.
1019,Salida de vía,"Salida de via. Golpea balizamiento y 5 barreras, 3 IPN mas cilindros. La bañera es sustituida por otra."
1020,Colisión de vehículos,Colisión de vehículos en carriles centrales sin heridos. Retiramos vehiculo 1 a carril derecho
1021,Colisión de vehículos,Accidente por alcance en arcén derecho. Policía los mueve al carril izquierdo.
1022,Colisión de vehículos,"Accidente en carril derecho, llegan las 2 grúas a la vez, lo carga la del seguro"
1023,Colisión de vehículos,Señalizo accidente en arcén derecho. Vehículos se retiran por sus medios
1025,Colisión de vehículos,Colisión por alcance de 2 vehículos. Vehículo 2 sale por sus medios y vehículo 1 saca híbrido Portugal con Policía. Usuaria de vehículo 1 es trasladada al Gregorio Marañon
1026,Colisión de vehículos,Colisión lateral en carril izquierdo con heridos. Herido dado de alta por SAMUR
1027,Colisión de vehículos,Accidente por alcance en carril central. Policía los mueve a arcen derecho. A mi llegada solo queda 1 vehiculo le cual reanuda la marcha.
1028,Colisión de vehículos,Colisión de 2 vehiculos en carril izq. Policía los pasa a arcen derecho
1029,Otros,"accidente de motorista, por cámara nos comunican que se cae solo. Cortamos un carril. SAMUR traslada con pronostico reservado."
1030,Colisión de vehículos,Accidente por alcance entre 3 vehículos que se encuentran ocupando el arcén derecho. 1 herido leve trasladado a la mutua de Asepeyo.
1031,Colisión de vehículos,Accidente por alcance entre 3 vehículos que se encuentran ocupando el arcén derecho. 1 herido con pronostico reservado trasladado a la Clinica Nª Señora de América. La grua externa de Lopez Ollero no carga. 1 vehículo implicado retirado por su grúa.
1032,Colisión de vehículos,"Colisión lateral entre vehículo sin heridos ni daños. Corto medio carril derecho, hasta retirada de ambos por sus medios una vez hacen parte"
1033,Colisión de vehículos,"Colisión por alcance con heridos sin daños carril izquierdo. Corto carril izquierdo de 13:32 a 14:10 que pasamos vehículo al carril derecho hasta que SAMUR atiende a 2 personas 1 del vehículo 2 y 1 del 3 dando de alta en punto. Vehículo 3 sale por sus medios, vehículo 2 y 3 con grúa Ollero"
1034,Colisión de vehículos,Accidente con heridos. Herido dado de alta por SAMUR. Señalizo y me retiro a otra incidencia. 
1035,Colisión de vehículos,"Accidente por alcance, sin heridos. Se marchan los 2 coches por sus propios medios. Cortamos carril derecho"
1036,Colisión de vehículos,Colisión por alcance de 3 vehículos en carril derecho. Vehículos reanudan marcha
1037,Colisión de vehículos,Señalizar accidente por alcance y uno se da a la fuga. Sin daños ni heridos. Los vehículos se retiran por sus medios
1038,Colisión de vehículos,Señalizar accidente por alcance en carril derecho. Policía lo retira fuera de zona. Sin daños ni heridos
1042,Colisión de vehículos,"Pequeña colición por alcance con 2 vehículos implicados, abandonan el punto por sus medios"
1043,Vuelco,Vuelco en carril izquierdo. Se corta carril izquierdo y central. Herido trasladado
1044,Colisión de vehículos,Alcance entre vehículos  
1045,Colisión de vehículos,"Accidente entre 1 turismo y 1 motorista, el vigilante V-1 los traslada al arcén del PK 32+200. Sin heridos ni daños al patrimonio. Ambos vehículos se retiran por sus medios."
1046,Colisión de vehículos,Accidente entre 2 vehículos por alcance. Sin heridos ni daños al patrimonio. Ambos vehículos se retiran por sus medios.
1047,Colisión de vehículos,Accidente entre 2 vehículos por alcance. Cuando llega el vigilante M1 solo queda en el punto 1 vehículo implicado. 1 herido leve dado de alta en el lugar.
1048,Colisión de vehículos,Accidente entre 3 vehículos por alcance en el carril izquierdo. 2 heridos leves trasladados al hospital Gregorio Marañon.
1049,Vuelco,Accidente entre 2 vehículos por alcance y vuelco lateral de uno de ellos. 4 heridos leves trasladados al Hospital La Paz. Se solicita la grúa externa de Lopez Ollero pero llegan antes la de los respectivos seguros de los vehículos implicados. Con daños al patrimonio.
1050,Colisión de vehículos,Accidente entre 2 vehículos por alcance ocupando el arcén derecho. Sin heridos ni daños al patrimonio.
1051,Salida de vía,"Accidente de 1 vehículo por salida de vía con daños al patrimonio, sin ocupantes. Se corta el carril derecho hasta la retirada del vehículo en su grúa."
1052,Colisión de vehículos,"Accidente entre 2 vehículos por alcance, sin daños al patrimonio ni heridos. Son trasladados al arcén derecho del PK 9+500. Ambos no necesitan grúa."
1053,Salida de vía,"Accidente de 1 vehículo por salida de vía con daños al patrimonio, sin heridos. Este vehículo se mete en el paso de peatones por despiste de la conductora (reflejado el dato en el informe de Policía Municipal)"
1055,Colisión de vehículos,Accidente entre 2 vehículos por alcance ocupando 2 carriles derechos. 1 herido leve (menor) trasladado al hospital por latigazo cervical.
1057,Colisión de vehículos,"Accidente entre 1 turismo y 1 motorista, este resulta herido sin pronosticar trasladado al hospital."
1058,Colisión de vehículos,Colisión vehículos por perro en la vía.Policía Nacional lo captura y se lo llev a la protectora.Se activa al Samur por dolor cervical de vh 2 y al final sale con nosotros.Se activa híbrido y sacamos los dos vehículos a la calle Bosco.
1059,Otros,Aviso de accidente de motorista carril derecho (caída).Trasladado del herido a la Infanta Leonor (leve)
1060,Colisión de vehículos,Colisión entre vehículos sin heridos.
1061,Colisión de vehículos,Colisión por alcance entre 2 vehículos.Sin daños materiales ni personales.Ambos salen por sus medios.
1062,Salida de vía,Vehículo se sale de la vía golpea con el bordillo.No hay daños personales si materiales. Sacamos el vehículo en la grúa plataforma.
1063,Colisión de vehículos,Accidente (de chapa) señalizo con policía.
1064,Atropello,"Vehículo con policía en carril izquierdo,corto carril izq.Según me informa policía me dice que el Sr. Atropellado aun peatón que iba con otras 2 personas (graffiteros según policía ya que había sprays en calzada)Los peatones abandonan el punto corriendo."
1065,Colisión de vehículos,señalizar accidente de 2 vehículos en arcén derecho.No necesitan grúa.
1066,Colisión de vehículos,Aviso de accidente de 2 vehículos en carril izquierdo.No necesitan grúa.
1067,Colisión de vehículos,Aviso de accidente de motorista en carril central.Lo pasamos a carril derecho.Limpiar mancha de aceite en calzada.Traslado del herido al Hospital Sanchinarro (motorista).
1068,Colisión de vehículos,Colisión de 3 vehículos en carrill central policía los traslada al arcén derecho.
1069,Colisión de vehículos,Con policía sacamos los coches de la M30
1071,Colisión de vehículos,Colisión de dos vehículos en carril derecho
1072,Colisión de vehículos,"Señalizar accidente por alcance,esperamos a policía en arcén derecho.No se ponen de acuerdo."
1073,Colisión de vehículos,Señalizo accidente con un herido trasladado.Corto carril izquierdo.Cuando llegó el veh se ha retirado.
1075,Colisión de vehículos,Colisión de 2 vehículos en carril izquierdo.Policía los saca al arcén derecho.El herido es trasladado al Gregorio Marañon.
1076,Colisión de vehículos,Accidente en carril derecho.
1077,Colisión de vehículos,Accidente en arcén derecho. 1 herido leve dado de alta en el lugar.
1078,Colisión de vehículos,Colisión por alcance entre 4 vehículos.
1079,Colisión de vehículos,Colisión de 3 vehículos en carril derecho.
1080,Colisión de vehículos,"Colisión moto y coche, con heridos, fallecido moto, corte carriles izquierdos y V-2 corta acceso a A-2 salida del 04RM y 04Ra desviandos por 04Rn , hasta retirada del fallecido, moto grúa Movilidad y vehiculo por us medios. Los 2 heridos del coche, leves dad de alta en el punto."
1081,Salida de vía,"Vehículo con reventada y golpes, el conductor muestra sintomas de embriaguez. Control en el punto y traslado por policía municpal."
1082,Salida de vía,"Salida de vía golpeando en bordillo izquierdo. El vehículo se para en carril derecho (PK bordillazo 18XC00). Cortamos carril derecho, se encuentra Policía Nacional, cargamos el coche en grúa y lo sacamos al exterior. "
1083,Salida de vía,Vehículo colisiona con hastial derecho. Retira grúa de movilidad
1084,Salida de vía,Vehículo se sale de vía rozando contra el muro (no hay daños)
1085,Salida de vía,Salida de vía sin daños ni heridos. Alcoholemia positiva. Corte carril derecho
1086,Vuelco,"Señalizar accidente (vuelco) cortando total ramal (08RC), salida B L Estrella, con daños a patrimonio y herido grave trasladado al Hospital Gregorio Marañón. El vehículo lo retira grúa de movilidad"
1087,Colisión de vehículos,Accidente por alcance entre 2 vehículos sin heridos
1088,Vuelco,Señalizar accidente (vuelco) con daños a patrimonio y un herido leve dado de alta en el lugar. Uno de los vehículos es grúa con un vehículo sin matricular
1089,Colisión de vehículos,Señalizar accidente por alcance en carril izquierdo y lo pasan al arcén derecho
1090,Colisión de vehículos,Accidente en carril derecho.17:20 retiramos veh al 12RA
1091,Colisión de vehículos,Señalizar vehículos accidentados en carril derecho.Los 3 heridos leves dados de alta en el lugar.
1092,Salida de vía,Veh se sale de vía en lado derechoy despues al lado izq Produciendo daños en lado dcho.Sin heridos.Llegó no hay veh lo saca fuera de zona grúa externa.El veh derrama aceite.
1093,Salida de vía,Salida de vía 03FT29 en isleta de separación del ramal 18RN cargamos en la C-10 y lo depositamos en el exteriorsin ninguna anomalía.
1094,Salida de vía,"Salida de vía de vehículo coliona con hitos bañera y amotiguador absorbente amarillo.El veh se da a la fuga, se le cae la matricula en el lugar."
1095,Colisión de vehículos,Alcance entre vehículos en carril central.3 ocupantes atendidos por Samur (leves).
1096,Colisión de vehículos,Accidente con heridos (3) leves dados de alta ene l punto.Se necesitan 3 grúas.
1097,Colisión de vehículos,"Aviso de accidente, haciendo el corte los vehiculos y Policía se retiran finalizazo, no puedo tomar datos, ni foto."
1098,Salida de vía,Motorista pierde el control y se cae saliendosele el casco. Corto 3 carriles izquierdos.
1099,Colisión obstaculo,"Camión pierde la carga por calzada (maderas, cartones) provoca la caida de un motorista, trasladado al herido al Gregorio Marañón, se corta carriles de salida. Pido barredora para limpiar calzada."
1100,Salida de vía,Salida de via en margen derecho contra la barrera.
1101,Colisión de vehículos,"Señalizar accidente por alcance en carril derecho, sin daños, ni heridos, el vehiculo nº1 se retira por us medios y el vehiculo nº 2 en grúas M-30"
1102,Colisión de vehículos,"Accidente por alcance en tre 3 vehiculos en carril derech, un herido trasladado."
1103,Colisión de vehículos,"Accidente. Colisión lateral entre vehiculo-moto, grúa C-10 carga moto y retira al exterior. El vehiculo se retira por sus medios. Se solicita a Samur para atender a conductor de moto, le da el alta en el momento."
1104,Colisión de vehículos,"Colisión por alcance 2 vehiculos sin victimas, ni daños. Vehiculo 1 abandona punto por sus medios, vehiuclo 2 se lleva grúa particular."
1105,Salida de vía,Accidente de salida de moto.Samur traslada a conductor al hospital NªSra.Americacon pronóstico reservado.La grúa de superficie retira la moto al exterior.Policía Municipal se hace cargo de la moto en el exterior.
1106,Colisión de vehículos,Colisión entre 3 veh Veh1/2 sale por sus medios veh 3 lo sacamo con plataforma a exterior y allí se hace cargo la grúa de movilidad ya que el usuario es llevado al Clinico.
1107,Colisión de vehículos,Accidente en carril derecho.Herido leve trasladado.
1108,Colisión de vehículos,Alcance entre vehículos intercambiandatos y salen por sus medios.
1109,Colisión de vehículos,"Accidente por alcance leve 2 vehículos,sin heridos.Rellenan parte de accidentes y reanudan la marcha por sus medios."
1110,Colisión de vehículos,Alcance entre vehículos enel carril derecho.Se activa a grúa externa M-30 pero carga la grúa del usuario ya que llegan a la vez.
1111,Colisión de vehículos,Corto carril izquierdo por accidente. Se activa grúa externa. (Policía no acude al punto)
1112,Colisión de vehículos,"Choca contra mediana y alcanza a vehiculo, herido leve dado de alta."
1113,Colisión de vehículos,"Aviso de accidente de 3 vehiculos, no hay heridos. Señalizo en arcen derecho, en espera de grúas."
1114,Colisión de vehículos,Accidente entre 2 vehículos. Salen por sus propios medios
1115,Colisión de vehículos,Señalizar accidente por alcance en carril derecho sin daños a patrimonio y sin heridos. Sacado por grúas de usuario
1116,Salida de vía,Señalizar accidente por salida de vía con daños a patrimonio sin heridos. Conductor es positivo en control de alcoholemia. Lo retira grúa de movilidad
1117,Colisión de vehículos,Accidente en carril derecho. Herido leve trasladado
1118,Colisión de vehículos,Señalizar accidente por alcance en carril derecho. Lo retiro al arcén derecho sin daños ni heridos. Los vehículos se retiran por sus medios
1119,Colisión de vehículos,Accidente en carril derecho. Corte de carril derecho. Los vehículos se retiran por sus medios. 
1120,Colisión de vehículos,Alcance varios vehículos. Cuando llegamos nos dice Policía que nos marchemos. Los vehículos salen por sus medios. 
1121,Colisión de vehículos,Alcance entre vehículos carril central. Se retiran a isleta donde ocupante es atendido por SAMUR. Dado de alta en el punto. 
1122,Colisión de vehículos,Aviso de vehículo averiado. No hay nada en PK 24 XC. Encuentro accidente en ramal. Vehículo colisiona con ciclista herido leve dado de alta en el punto. Corto lado derecho del ramal
1123,Colisión de vehículos,Colisión de vehículos por alcance con herido trasladado. Corto carril derecho
1124,Colisión de vehículos,"Aviso accidente de 2 vehículos, corto ramal, limpio restos del accidente, heridos del vehículo 1 atendidos en el punto, leves."
1125,Salida de vía,"Vehículo golpea contra bañera e hitos y los lleva arrastrando, conductor se para y deja el vehículo, corto carril derecho."
1126,Colisión de vehículos,Colisión por alcance de 2 vehiculos en carril derecho
1127,Colisión de vehículos,"Señalizar accidente por alcance carril izquierdo, sin heridos."
1128,Salida de vía,"Accidente con daños, a nuestra llegada esta vehiculo golpea en bordillo derecho y se para en carril central. Sacamos con grúa."
1129,Colisión de vehículos,Me encuentro vehículo averiado en carril derecho. El usuario me dice que ha sido golpeado por otro vehículo y solicita Policía. Nos retiramos al apartadero. El vehículo sale por sus medios. 
1130,Colisión de vehículos,Accidente por alcance leve entre un camión y un coche. Se cogen datos y reanudan la marcha por sus medios
1131,Colisión de vehículos,Accidente de chapa en carril izquierdo. Los pasamos al carril derecho en la rotonda
1132,Otros,Caída de motorista en carril central. Policía lo traslada a arcén derecho
1133,Colisión de vehículos,"Los vehículo salen por sus medios, los saca Policía Municipal a nuestra llegada."
1134,Colisión de vehículos,Accidente por alcance en carril izquierdo de 3 vehículos. Cuando llego hay 2 vehículos y están en isleta derecha que los ha pasado Policía. Herido vehículo 1 lo trasladan a la Princesa con pronóstico leve
1135,Colisión de vehículos,"Colisión por alcance de 2 vehículos carril derecho, sin heridos ni daños. Corto carril hasta retirada de vehículo 1 por sus medios y vehículo 2 en grúa Ollero a zona urbana"
1136,Colisión de vehículos,Señalizar vehículos accidentados en arcén derecho
1137,Salida de vía,"A nuestra llegada el turismo ocupa los dos carriles derechos, y no hay ocupantes en el mismo. El coche golpea el hastial derecho romiendo el carter"
1138,Colisión de vehículos,"Accidente de un coche y una moto con testigos. La moto golpea a coche por detrás, Samur atiende a motorista y traslada al Hospital, con pronostico reservado. La moto la sacamos fuera del túnel con la C-10, lo s demas vehiculos se marchan pot sus medios"
1139,Colisión de vehículos,Accidente (chapa) los coches se marchan del lugar.
1140,Otros,Caida de motorista en calzada
1141,Colisión de vehículos,"Colisión alcance 2 vehiculos carril derecho, con heridos, sin daños, corto carril derecho hasta que Samur atiende a usuario vehiculo 2. dado de alta en el punto."
1142,Colisión de vehículos,"Aviso. Accidente con heridos. Al llegar estan fuera de zona, me quedo dando apoyo de señalización a Polcía. Herido dado de alta por samur."
1143,Colisión de vehículos,"Colisión alcance 3 vehiculos carril derecho, con heridos, sin daños corto 1/2 carril derecho, hasta que Samur atiende a 2 pax, dados de alta en el punto. 2 vehiculos en grúas propias, 1 ollero"
1144,Colisión de vehículos,"Accidente por alcance, 2 vehiculos sin heridos. Se cogen los datos y se marchan por sus medios."
1145,Colisión de vehículos,Accidente por alcance en carril derec. A mi llegada solo queda un vehiculo.
1146,Colisión de vehículos,Colisión por alcance sin heridos ni daños en apartadero izquierdo. Vehículo 1 por sus medios y vehículo 2 en grúa de usuario
1147,Colisión de vehículos,Policía que está en el semáforo saca los coches de la M30
1148,Colisión de vehículos,Colisión de 6 vehículos en carril derecho. Herido dado de alta en el punto. 
1150,Colisión de vehículos,Colisión sin heridos en carril derecho
1151,Salida de vía,Caída de motorista en ramal 07RH trasladado sin pronóstico. Corte de carril derecho
1152,Colisión de vehículos,Colisión en carril derecho
1153,Salida de vía,Accidente en carriles izquierdos. Positivo en alcoholemia. Herido leve trasladado
1155,Salida de vía,Vehículo que sale de vía. El conductor es atendido y dado de alta in situ por SAMUR. Da positivo en alcoholemia y es trasladado a dependencias policiales por Policía. En el accidente se generan daños al patrimonio. El vehículo es retirado por grúa municipal
1156,Salida de vía,Sale de vía llevándose las señales. A mi llegada el vehículo no está (retirado por grúa externa M30)
1157,Colisión de vehículos,Accidente en arcén derecho. SAMUR atiende y traslada leve al Hospital 12 de Octubre a usuario de vehículo 1. El vehículo 1 con grúa propia y el 2 por sus medios.
1158,Colisión de vehículos,Colisión de vehículos con heridos. Corto carril derecho y derecho central. Herido trasladado al Hospital Gregorio Marañon sin pronóstico
1159,Colisión de vehículos,Accidente en carril derecho. Un herido leve dado de alta. 
1160,Colisión de vehículos,"Accidente moto y coche, carril derecho, con heridos y sin daños. Corto carril derecho que SAMUR atiende y traslada al usuario de moto al Hospital 12 de Octubre en estado leve. Vehículo 1 con grúa de usuario y vehículo 2 por sus medios. "
1161,Colisión de vehículos,Aviso de centro de control de accidente
1162,Colisión de vehículos,Caída de motorista con 2 vehículos implicados. Atiende SAMUR y retirada de moto por parte de su seguro. 
1163,Colisión de vehículos,Accidente por alcance en arcén derecho.
1164,Vuelco,Vehículo 1 alcanza al veh 2 sacandolo de la vía.veh 2  vuelca en el carril derecho.2 heridos leves. Actúa bomberos que saca al veh 2
1165,Colisión de vehículos,Vehículos en carriles centrales por accidente lateral leve sin heridos.Los saco a la isleta  del ramal a Vallecas para quitarles de la circulación Piden policía porque no se ponen de acuerdo.
1166,Colisión de vehículos,Alcance entre vehículos en carril derecho. Un turismo se retira por sus medios.El furgón es retirado por sus asistencia.
1167,Colisión de vehículos,Accidente entre camión y 2 turismos.
1168,Colisión de vehículos,Colisión de vehículos sin heridos.
1169,Salida de vía,Accidente de mot.Policía y Samur en el punto.Limpiamos la calzada.La moto la saca su grúa.Los heridos dados de alta en el lugar
1170,Colisión de vehículos,Accidente de vehículos.Antes de nuestra llegada al punto se anula  la incidencia.
1171,Otros,Nos activan a caída de motorista al 18RA66 Pero de camino nos anulan porque el motorista sale por sus propios medios.
1172,Colisión de vehículos,Accidente en carril derecho.Herido trasladado leve.
1173,Colisión de vehículos,Accidente por alcance de 3 veh sin heridos en arcén derecho.Hacen parte de accidente y reanudan la marcha por sus medios.
1174,Colisión de vehículos,Accidente por alcance leve dos coches sin heridos en carril arcén derecho.Cogen datos y reanudan la marcha por sus medios.
1175,Colisión de vehículos,Accidente por alcance entre 4 vehículos ocupando el carril izquierdo. 1 herido leve dado de alta por el Samur en el punto.
1176,Colisión de vehículos,Accidente de 2 veh al llegar solo queda uno el otro se ha marchado por sus medios.El que queda es retirado por su grúa.
1177,Colisión de vehículos,Colisión lateral entre vehículos. Sin heridos ni daños.Veh 2 y3  se retiran por sus medios y veh 1 por su grúa.
1179,Colisión de vehículos,Alcance entre 3 vehículos en carril izquierdo. Dos vehículos se retiran por sus medios.El veh 1 es retirado al arcén a la espera de su grúa.
1180,Colisión de vehículos,Accidente por alcance con motorista implicado.En carril izquierdo el motorista es trasladado.
1181,Otros,"Caída de motorista con herido sin daños. Samuratiende a usuario de moto,dando de alta en el punto.La moto es retirada por su grúa."
1182,Colisión de vehículos,"Colisión alcance con heridos sin daños en carril derecho.A mi llegada solo queda un vehículo en el punto.Samur atiende al usuario de esté,dando de alta en el punto y abandonando por sus medios."
1183,Colisión de vehículos,Colisión alcance sin heridos ni daños en isleta señalizo hasta que toman los datos.Abandonando por sus medios ambos.
1184,Colisión de vehículos,Accidente en carril izquierdo.A mi llegada policía tiene el veh en el arcén derecho.
1185,Colisión de vehículos,Accidente por alcance entre vehículos.Prosiguen la marcha.
1186,Salida de vía,Accidente de motorista potr salida de vía.El herido es trasladado al Gregorio Marañon.
1187,Colisión de vehículos,Alcance entre vehículos en carril derecho. Toman datos y se retiran por sus medios.
1188,Colisión de vehículos,Accidente en carril izquierdo.Ocupante del Seat Cordoba es trasladado por Samur.
1189,Colisión de vehículos,Colisión de vehículos en carril derecho.Cuando llegó al punto se retiran.No cojo datos.
1190,Colisión de vehículos,Colisión de vehículos sin heridos.Cuando llegó solo queda 2 vehículos.Policía los ha pasado al arcén derecho.
1191,Colisión de vehículos,Señalizo colisión de vehículos sin heridos.
1192,Otros,"vehículo parado en carril central,lo pasamos al carril derecho y lo sacamoa con el híbrido.Al descargar el vehículo en el exterior dañamos en la parte delantera el mismo.Rompemos embellecedor delantero ,facilitamos datos al usuario (datos emesa)"
1194,Colisión de vehículos,Accidente entre 2 vehículos por alcance lateral leve que reanudan la marcha por sus medios después que los conductores se tomen los datos. 
1195,Colisión de vehículos,"Accidente entre 2 vehículos por alcance. Cuando llega el vigilante solo se encuentra en el punto uno de los vehículos implicados, el conductor de este fue agredido por el otro conductor, Samur lo atiende y le da de alta en el punto. Se retira por sus medios."
1196,Colisión de vehículos,Accidente entre 2 vehículos por alcance en el carril izquierdo. Se activa a la barredora C-16 para la limpieza de restos y cristales.
1197,Colisión de vehículos,"Accidente entre 3 vehículos por alcance ocupando el carril derecho. El vigilante V-2 se encuentra con la incidencia y señaliza hasta la llegada de los AIAM Portugal. La conductora de uno de los vehículos implicados se encuentra embarazada y es trasladada al hospital por molestias, su vehículo es retirado del punto por el híbrido de los AIAM y los otros dos implicados por sus medios."
1198,Vuelco,Accidente de 1 vehículo por vuelco sin contrario. 1 herido trasladado al Hospital Gregorio Marañon. 
1199,Colisión de vehículos,Accidente entre 2 vehículos por alcance ocupando el carril derecho. Son atendidos por los AIAM  de Base Portugal que se encuentran en la incidencia anterior Nº 8. Ambos vehículos se retiran por sus medios del punto.
1201,Colisión de vehículos,"Accidente entre 1 turismo y 1 motocicleta por alcance ocupando el carril izquierdo, con Policía Municipal los vehículos implicados son sacados fuera de zona. El motorista resulta herido leve."
1202,Colisión de vehículos,Accidente entre 5 vehículos por alcance ocupando el carril derecho.
1203,Colisión de vehículos,"Accidente entre un turismo y un motorista en el 31NC70, antes de la llegada del vigilante V-1 ambos vehículos se trasladan al arcén del 32NC20. Sin heridos ni daños al patrimonio. Ambos vehículos se retiran por sus medios. "
